Tahun,Brunei Darussalam,Cambodia,Indonesia ,Lao's PDR,Malaysia ,Myanmar,Philippines,Singapore,Thailand,Viet Nam
2004,56.9,70.7,49.2,50.75,47.2,48.8,50.2,51.3,63.8,50.75
2005,57.6,50.7,50.7,50.7,45.9,49.1,49.8,52,64.3,50.7
2006,59,49.5,48,49.5,45.8,49.5,48.5,54.3,65.1,49.5
2007,59.7,78.3,50.3,54.3,46.4,49.8,48.2,54.3,66,70.9
2008,60.6,75.6,51.1,55.6,45.7,50.1,48.6,55.6,65.8,71.3
2009,61.5,80.4,51,55.2,46.4,50.4,49.3,55.2,65.6,72.3
2010,62,84.2,51.8,76.2,46.8,50,49.6,56.5,65.3,73
2011,59.9,84.8,52.4,57,47.9,50,52.2,57,65.9,72.6
2012,63.2,79.7,51.4,57.7,49.5,50.2,49.6,57.7,65.3,72.5
2013,55.25,77.8,50.3,55.25,52.4,50.7,49.8,58.1,63.3,73.2
2014,58.3,58.3,50.2,58.3,58.3,50.5,58.3,58.6,58.3,73.3
