Tahun,Brunei Darussalam,Cambodia,Indonesia ,Lao's PDR,Malaysia ,Myanmar,Philippines,Singapore,Thailand,Viet Nam
2004,5.6,2.7,16.8,4.6,3.8,4.6,11.7,6.2,2.1,2.4
2005,4.5,4.5,14.7,1.2,3.7,4.6,7.3,4.5,1.7,4.5
2006,9.2,4.6,13.4,4.6,3.4,4.6,6.9,3.7,1.1,4.6
2007,9.6,0.8,10.8,3.4,3.4,4.6,6,3.1,1.1,2.1
2008,10.1,0.4,9.7,3.7,3.7,4.6,6.6,3.5,1,1.9
2009,10.7,0.1,8.5,4.6,3.8,4.6,6.7,4.7,1.1,2.7
2010,11.3,0.3,8.7,2,3.4,4.6,6.7,3.4,0.8,3.1
2011,11.7,0.1,7.6,3.3,3.3,4.6,6.1,3.2,0.7,2.4
2012,12.4,0.2,6.8,3.2,3.2,4.6,6.7,3.1,0.5,2
2013,3.15,0.3,6.5,3.15,3.4,4.6,5.9,2.9,0.8,2
2014,7.8,4,6.3,4,4,4,4,2.9,4,2.1
